vendor,action_id,inputSchemaStatus,implementationStatus,chatExposure,executeExposure,oauthScopes,scopeRegistered,riskLevel,approvalRequired,multiStepPlans,structuredResults,testStatus,verificationClaim
salesforce,salesforce.leads.get,inferred,executable,True,True,salesforce:leads:read|salesforce:*,True,low,False,True,True,live,verified_working
salesforce,salesforce.leads.search,inferred,executable,True,True,salesforce:leads:read|salesforce:*,True,low,False,True,True,live,verified_working
salesforce,salesforce.contacts.search,override,executable,True,True,salesforce:contacts:read|salesforce:*,True,low,False,True,True,live,verified_working
salesforce,salesforce.accounts.get,inferred,executable,True,True,salesforce:accounts:read|salesforce:*,True,low,False,True,True,live,verified_working
salesforce,salesforce.opportunities.get,inferred,executable,True,True,salesforce:opportunities:read|salesforce:*,True,low,False,True,True,live,verified_working
salesforce,salesforce.query,inferred,executable,True,True,salesforce:query:read|salesforce:*,True,low,False,True,True,live,verified_working
salesforce,salesforce.leads.create,inferred,requires_approval,True,True,salesforce:leads:write|salesforce:*,True,high,True,True,True,live,verified_working
salesforce,salesforce.leads.update,inferred,requires_approval,True,True,salesforce:leads:write|salesforce:*,True,high,True,True,True,live,verified_working
salesforce,salesforce.accounts.create,inferred,requires_approval,True,True,salesforce:accounts:write|salesforce:*,True,high,True,True,True,live,verified_working
salesforce,salesforce.opportunities.create,inferred,requires_approval,True,True,salesforce:opportunities:write|salesforce:*,True,high,True,True,True,live,verified_working
salesforce,salesforce.tasks.create,inferred,requires_approval,True,True,salesforce:tasks:write|salesforce:*,True,high,True,True,True,live,verified_working
salesforce,salesforce.opportunities.update_stage,inferred,requires_approval,True,True,salesforce:opportunities:write|salesforce:*,True,high,True,True,True,live,verified_working
salesforce,salesforce.accounts.update,inferred,requires_approval,True,True,salesforce:accounts:write|salesforce:*,True,high,True,True,True,live,verified_working
salesforce,salesforce.opportunities.update,inferred,requires_approval,True,True,salesforce:opportunities:write|salesforce:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.contacts.get,override,executable,True,True,hubspot:contacts:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.contacts.search,override,executable,True,True,hubspot:contacts:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.deals.get,override,executable,True,True,hubspot:deals:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.deals.search,override,executable,True,True,hubspot:deals:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.deals.list,override,executable,True,True,hubspot:deals:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.companies.search,override,executable,True,True,hubspot:companies:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.companies.get,override,executable,True,True,hubspot:companies:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.tickets.search,override,executable,True,True,hubspot:tickets:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.tickets.get,override,executable,True,True,hubspot:tickets:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.owners.list,override,executable,True,True,hubspot:owners:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.pipelines.list,override,executable,True,True,hubspot:pipelines:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.contacts.list,override,executable,True,True,hubspot:contacts:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.contacts.create,override,requires_approval,True,True,hubspot:contacts:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.contacts.update,override,requires_approval,True,True,hubspot:contacts:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.contacts.delete,override,requires_approval,True,True,hubspot:contacts:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.deals.create,override,requires_approval,True,True,hubspot:deals:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.deals.update,override,requires_approval,True,True,hubspot:deals:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.deals.delete,override,requires_approval,True,True,hubspot:deals:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.notes.create,override,requires_approval,True,True,hubspot:notes:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.notes.delete,override,requires_approval,True,True,hubspot:notes:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.associations.create,override,requires_approval,True,True,hubspot:associations:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.companies.create,override,requires_approval,True,True,hubspot:companies:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.deals.update_stage,override,requires_approval,True,True,hubspot:deals:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.sequences.enroll,override,requires_approval,True,True,hubspot:sequences:enroll|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.lists.get,override,executable,True,True,hubspot:lists:read|hubspot:*,True,low,False,True,True,live,verified_working
hubspot,hubspot.lists.add_contact,override,requires_approval,True,True,hubspot:lists:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.lists.create,override,requires_approval,True,True,hubspot:lists:write|hubspot:*,True,high,True,True,True,live,verified_working
hubspot,hubspot.tickets.create,override,requires_approval,True,True,hubspot:tickets:write|hubspot:*,True,high,True,True,True,live,verified_working
pipedrive,pipedrive.persons.search,inferred,executable,True,True,pipedrive:persons:read|pipedrive:*,True,low,False,True,True,mock,verified_working
pipedrive,pipedrive.persons.get,inferred,executable,True,True,pipedrive:persons:read|pipedrive:*,True,low,False,True,True,mock,verified_working
pipedrive,pipedrive.deals.list,inferred,executable,True,True,pipedrive:deals:read|pipedrive:*,True,low,False,True,True,mock,verified_working
pipedrive,pipedrive.deals.get,inferred,executable,True,True,pipedrive:deals:read|pipedrive:*,True,low,False,True,True,mock,verified_working
pipedrive,pipedrive.organizations.list,inferred,executable,True,True,pipedrive:organizations:read|pipedrive:*,True,low,False,True,True,mock,verified_working
pipedrive,pipedrive.pipelines.list,inferred,executable,True,True,pipedrive:pipelines:read|pipedrive:*,True,low,False,True,True,mock,verified_working
pipedrive,pipedrive.persons.create,inferred,requires_approval,True,True,pipedrive:persons:write|pipedrive:*,True,high,True,True,True,mock,verified_working
pipedrive,pipedrive.persons.update,inferred,requires_approval,True,True,pipedrive:persons:write|pipedrive:*,True,high,True,True,True,mock,verified_working
pipedrive,pipedrive.deals.create,inferred,requires_approval,True,True,pipedrive:deals:write|pipedrive:*,True,high,True,True,True,live,verified_working
pipedrive,pipedrive.deals.update,inferred,requires_approval,True,True,pipedrive:deals:write|pipedrive:*,True,high,True,True,True,mock,verified_working
pipedrive,pipedrive.deals.update_stage,inferred,requires_approval,True,True,pipedrive:deals:write|pipedrive:*,True,high,True,True,True,mock,verified_working
marketo,marketo.leads.get,inferred,executable,True,True,marketo:leads:read|marketo:*,True,low,False,True,True,live,verified_working
marketo,marketo.campaigns.list,inferred,executable,True,True,marketo:campaigns:read|marketo:*,True,low,False,True,True,live,verified_working
marketo,marketo.programs.status,inferred,executable,True,True,marketo:programs:read|marketo:*,True,low,False,True,True,live,verified_working
marketo,marketo.lists.get_leads,inferred,executable,True,True,marketo:lists:read|marketo:*,True,low,False,True,True,live,verified_working
marketo,marketo.leads.update,inferred,requires_approval,True,True,marketo:leads:write|marketo:*,True,high,True,True,True,live,verified_working
marketo,marketo.leads.create,inferred,requires_approval,True,True,marketo:leads:write|marketo:*,True,high,True,True,True,live,verified_working
marketo,marketo.campaigns.schedule,inferred,requires_approval,True,True,marketo:campaigns:write|marketo:*,True,high,True,True,True,live,verified_working
marketo,marketo.lists.add_to_static_list,inferred,requires_approval,True,True,marketo:lists:write|marketo:*,True,high,True,True,True,live,verified_working
marketo,marketo.leads.merge,inferred,requires_approval,True,True,marketo:leads:write|marketo:*,True,high,True,True,True,live,verified_working
marketo,marketo.programs.members.add,inferred,requires_approval,True,True,marketo:programs:write|marketo:*,True,high,True,True,True,live,verified_working
segment,segment.sources.list,inferred,executable,True,True,segment:sources:read|segment:*,True,low,False,True,True,live,verified_working
segment,segment.destinations.list,inferred,executable,True,True,segment:destinations:read|segment:*,True,low,False,True,True,live,verified_working
segment,segment.trackingplans.list,inferred,executable,True,True,segment:trackingplans:read|segment:*,True,low,False,True,True,live,verified_working
segment,segment.identify,inferred,requires_approval,True,True,segment:identify|segment:*,True,high,True,True,True,live,verified_working
segment,segment.track,inferred,requires_approval,True,True,segment:track|segment:*,True,high,True,True,True,live,verified_working
segment,segment.group,inferred,requires_approval,True,True,segment:group|segment:*,True,high,True,True,True,live,verified_working
segment,segment.alias,inferred,requires_approval,True,True,segment:write|segment:*,True,high,True,True,True,live,verified_working
segment,segment.page,inferred,requires_approval,True,True,segment:write|segment:*,True,high,True,True,True,live,verified_working
segment,segment.batch,inferred,requires_approval,True,True,segment:write|segment:*,True,high,True,True,True,live,verified_working
google_analytics,google_analytics.properties.list,inferred,executable,True,True,google_analytics:read|google_analytics:*,True,low,False,True,True,live,verified_working
google_analytics,google_analytics.reports.run,inferred,executable,True,True,google_analytics:read|google_analytics:*,True,low,False,True,True,live,verified_working
google_analytics,google_analytics.metadata.list,inferred,executable,True,True,google_analytics:read|google_analytics:*,True,low,False,True,True,live,verified_working
google_analytics,google_analytics.audiences.create,inferred,requires_approval,True,True,google_analytics:write|google_analytics:*,True,high,True,True,True,live,verified_working
google_analytics,google_analytics.conversions.create,inferred,requires_approval,True,True,google_analytics:write|google_analytics:*,True,high,True,True,True,live,verified_working
google_analytics,google_analytics.reports.batch,inferred,executable,True,True,google_analytics:read|google_analytics:*,True,medium,False,True,True,live,verified_working
google_analytics,google_analytics.realtime.run,inferred,executable,True,True,google_analytics:read|google_analytics:*,True,medium,False,True,True,live,verified_working
google_search_console,google_search_console.sites.list,inferred,executable,True,True,google_search_console:read|google_search_console:*,True,low,False,True,True,live,verified_working
google_search_console,google_search_console.searchAnalytics.query,inferred,executable,True,True,google_search_console:read|google_search_console:*,True,low,False,True,True,live,verified_working
google_search_console,google_search_console.sites.get,inferred,executable,True,True,google_search_console:read|google_search_console:*,True,low,False,True,True,live,verified_working
google_search_console,google_search_console.sitemaps.list,inferred,executable,True,True,google_search_console:read|google_search_console:*,True,medium,False,True,True,live,verified_working
google_ads,google_ads.campaigns.list,override,executable,True,True,google_ads:read|google_ads:*,True,low,False,True,True,live,verified_working
google_ads,google_ads.campaigns.get,override,executable,True,True,google_ads:read|google_ads:*,True,low,False,True,True,live,verified_working
google_ads,google_ads.ad_groups.list,override,executable,True,True,google_ads:read|google_ads:*,True,low,False,True,True,live,verified_working
google_ads,google_ads.reports.performance,override,executable,True,True,google_ads:read|google_ads:*,True,low,False,True,True,live,verified_working
google_ads,google_ads.keywords.list,override,executable,True,True,google_ads:read|google_ads:*,True,low,False,True,True,live,verified_working
google_ads,google_ads.campaigns.update_budget,override,requires_approval,True,True,google_ads:write|google_ads:*,True,high,True,True,True,live,verified_working
google_ads,google_ads.campaigns.pause,override,requires_approval,True,True,google_ads:write|google_ads:*,True,high,True,True,True,live,verified_working
google_ads,google_ads.campaigns.resume,override,requires_approval,True,True,google_ads:write|google_ads:*,True,high,True,True,True,live,verified_working
google_ads,google_ads.accounts.list,override,executable,True,True,google_ads:read|google_ads:*,True,medium,False,True,True,live,verified_working
google_ads,google_ads.structure.create,override,requires_approval,True,True,google_ads:write|google_ads:*,True,high,True,True,True,live,verified_working
mailchimp,mailchimp.audiences.list,inferred,executable,True,True,mailchimp:audiences:read|mailchimp:*,True,low,False,True,True,none,implemented_unverified
mailchimp,mailchimp.members.get,inferred,executable,True,True,mailchimp:members:read|mailchimp:*,True,low,False,True,True,live,verified_working
mailchimp,mailchimp.campaigns.list,inferred,executable,True,True,mailchimp:campaigns:read|mailchimp:*,True,low,False,True,True,none,implemented_unverified
mailchimp,mailchimp.members.add,inferred,requires_approval,True,True,mailchimp:members:write|mailchimp:*,True,high,True,True,True,live,verified_working
mailchimp,mailchimp.campaigns.create,inferred,requires_approval,True,True,mailchimp:campaigns:write|mailchimp:*,True,high,True,True,True,none,implemented_unverified
mailchimp,mailchimp.tags.add,inferred,requires_approval,True,True,mailchimp:tags:write|mailchimp:*,True,high,True,True,True,none,implemented_unverified
mailchimp,mailchimp.automations.trigger,inferred,requires_approval,True,True,mailchimp:automations:write|mailchimp:*,True,high,True,True,True,none,implemented_unverified
mailchimp,mailchimp.segments.add_member,inferred,requires_approval,True,True,mailchimp:segments:write|mailchimp:*,True,high,True,True,True,none,implemented_unverified
mailchimp,mailchimp.batch.subscribe,inferred,requires_approval,True,True,mailchimp:members:write|mailchimp:*,True,high,True,True,True,none,implemented_unverified
mixpanel,mixpanel.events.query,inferred,executable,True,True,mixpanel:events:read|mixpanel:*,True,low,False,True,True,none,implemented_unverified
mixpanel,mixpanel.funnels.list,inferred,executable,True,True,mixpanel:funnels:read|mixpanel:*,True,low,False,True,True,none,implemented_unverified
mixpanel,mixpanel.cohorts.list,inferred,executable,True,True,mixpanel:cohorts:read|mixpanel:*,True,low,False,True,True,none,implemented_unverified
mixpanel,mixpanel.profiles.set,inferred,requires_approval,True,True,mixpanel:profiles:write|mixpanel:*,True,high,True,True,True,none,implemented_unverified
mixpanel,mixpanel.events.track,inferred,requires_approval,True,True,mixpanel:events:write|mixpanel:*,True,high,True,True,True,live,verified_working
mixpanel,mixpanel.cohorts.export,inferred,executable,True,True,mixpanel:cohorts:read|mixpanel:*,True,medium,False,True,True,none,implemented_unverified
mixpanel,mixpanel.annotations.create,inferred,requires_approval,True,True,mixpanel:annotations:write|mixpanel:*,True,high,True,True,True,none,implemented_unverified
mixpanel,mixpanel.engage.query,inferred,executable,True,True,mixpanel:engage:read|mixpanel:*,True,medium,False,True,True,none,implemented_unverified
constant_contact,constant_contact.contacts.list,inferred,executable,True,True,constant_contact:contacts:read|constant_contact:*,True,low,False,True,True,live,verified_working
constant_contact,constant_contact.contacts.get,inferred,executable,True,True,constant_contact:contacts:read|constant_contact:*,True,low,False,True,True,live,verified_working
constant_contact,constant_contact.campaigns.list,inferred,executable,True,True,constant_contact:campaigns:read|constant_contact:*,True,low,False,True,True,live,verified_working
constant_contact,constant_contact.contacts.create,inferred,requires_approval,True,True,constant_contact:contacts:write|constant_contact:*,True,high,True,True,True,live,verified_working
constant_contact,constant_contact.contacts.update,inferred,requires_approval,True,True,constant_contact:contacts:write|constant_contact:*,True,high,True,True,True,live,verified_working
constant_contact,constant_contact.campaigns.create,inferred,requires_approval,True,True,constant_contact:campaigns:write|constant_contact:*,True,high,True,True,True,live,verified_working
constant_contact,constant_contact.lists.add_contacts,inferred,requires_approval,True,True,constant_contact:lists:write|constant_contact:*,True,high,True,True,True,live,verified_working
constant_contact,constant_contact.tags.apply,inferred,requires_approval,True,True,constant_contact:tags:write|constant_contact:*,True,high,True,True,True,live,verified_working
constant_contact,constant_contact.campaigns.schedule,inferred,requires_approval,True,True,constant_contact:campaigns:write|constant_contact:*,True,high,True,True,True,live,verified_working
constant_contact,constant_contact.contact_lists.list,inferred,executable,True,True,constant_contact:lists:read|constant_contact:*,True,medium,False,True,True,live,verified_working
constant_contact,constant_contact.segments.list,inferred,executable,True,True,constant_contact:segments:read|constant_contact:*,True,medium,False,True,True,live,verified_working
constant_contact,constant_contact.contacts.delete,inferred,requires_approval,True,True,constant_contact:contacts:write|constant_contact:*,True,high,True,True,True,live,verified_working
hootsuite,hootsuite.organizations.list,inferred,executable,True,True,hootsuite:organizations:read|hootsuite:*,True,low,False,True,True,none,implemented_unverified
hootsuite,hootsuite.messages.list,inferred,executable,True,True,hootsuite:messages:read|hootsuite:*,True,low,False,True,True,none,implemented_unverified
hootsuite,hootsuite.analytics.summary,inferred,executable,True,True,hootsuite:analytics:read|hootsuite:*,True,low,False,True,True,none,implemented_unverified
hootsuite,hootsuite.messages.schedule,inferred,requires_approval,True,True,hootsuite:messages:write|hootsuite:*,True,high,True,True,True,none,implemented_unverified
hootsuite,hootsuite.messages.update,inferred,requires_approval,True,True,hootsuite:messages:write|hootsuite:*,True,high,True,True,True,none,implemented_unverified
hootsuite,hootsuite.inbox.reply,inferred,requires_approval,True,True,hootsuite:inbox:write|hootsuite:*,True,high,True,True,True,none,implemented_unverified
hootsuite,hootsuite.approvals.submit,inferred,requires_approval,True,True,hootsuite:approvals:write|hootsuite:*,True,high,True,True,True,none,implemented_unverified
hootsuite,hootsuite.bulk.schedule,inferred,requires_approval,True,True,hootsuite:messages:write|hootsuite:*,True,high,True,True,True,none,implemented_unverified
semrush,semrush.domain.overview,inferred,executable,True,True,semrush:analytics:read|semrush:*,True,low,False,True,True,live,verified_working
semrush,semrush.keywords.list,inferred,executable,True,True,semrush:keywords:read|semrush:*,True,low,False,True,True,mock,verified_working
semrush,semrush.backlinks.list,inferred,executable,True,True,semrush:backlinks:read|semrush:*,True,low,False,True,True,mock,verified_working
semrush,semrush.projects.create,inferred,requires_approval,True,True,semrush:projects:write|semrush:*,True,high,True,True,True,live,verified_working
semrush,semrush.position_tracking.add,inferred,requires_approval,True,True,semrush:tracking:write|semrush:*,True,high,True,True,True,mock,verified_working
semrush,semrush.batch.domain,inferred,executable,True,True,semrush:analytics:read|semrush:*,True,medium,False,True,True,mock,verified_working
semrush,semrush.competitors.compare,inferred,executable,True,True,semrush:analytics:read|semrush:*,True,medium,False,True,True,mock,verified_working
semrush,semrush.exports.run,inferred,requires_approval,True,True,semrush:exports:write|semrush:*,True,high,True,True,True,mock,verified_working
ahrefs,ahrefs.backlinks.list,inferred,executable,True,True,ahrefs:backlinks:read|ahrefs:*,True,low,False,True,True,mock,verified_working
ahrefs,ahrefs.keywords.list,inferred,executable,True,True,ahrefs:keywords:read|ahrefs:*,True,low,False,True,True,mock,verified_working
ahrefs,ahrefs.domain.rating,inferred,executable,True,True,ahrefs:domain:read|ahrefs:*,True,low,False,True,True,mock,verified_working
ahrefs,ahrefs.brand_radar.overview,inferred,executable,True,True,ahrefs:brand_radar:read|ahrefs:*,True,low,False,True,True,live,verified_working
ahrefs,ahrefs.brand_radar.prompts.list,inferred,executable,True,True,ahrefs:brand_radar:read|ahrefs:*,True,low,False,True,True,mock,verified_working
ahrefs,ahrefs.projects.create,inferred,requires_approval,True,True,ahrefs:projects:write|ahrefs:*,True,high,True,True,True,live,verified_working
ahrefs,ahrefs.rank_tracker.add,inferred,requires_approval,True,True,ahrefs:tracking:write|ahrefs:*,True,high,True,True,True,live,verified_working
ahrefs,ahrefs.brand_radar.prompts.track,inferred,requires_approval,True,True,ahrefs:brand_radar:write|ahrefs:*,True,high,True,True,True,mock,verified_working
ahrefs,ahrefs.competitors.compare,inferred,executable,True,True,ahrefs:domain:read|ahrefs:*,True,low,False,True,True,mock,verified_working
ahrefs,ahrefs.top_pages.list,inferred,executable,True,True,ahrefs:pages:read|ahrefs:*,True,low,False,True,True,mock,verified_working
ahrefs,ahrefs.brand_radar.competitors.compare,inferred,executable,True,True,ahrefs:brand_radar:read|ahrefs:*,True,low,False,True,True,mock,verified_working
ahrefs,ahrefs.brand_radar.exports.run,inferred,executable,True,True,ahrefs:brand_radar:read|ahrefs:*,True,medium,False,True,True,mock,verified_working
finseo,finseo.projects.list,inferred,executable,True,True,finseo:projects:read|finseo:*,True,low,False,True,True,none,implemented_unverified
finseo,finseo.metrics.overview,inferred,executable,True,True,finseo:metrics:read|finseo:*,True,low,False,True,True,none,implemented_unverified
finseo,finseo.prompts.list,inferred,executable,True,True,finseo:prompts:read|finseo:*,True,low,False,True,True,none,implemented_unverified
finseo,finseo.prompts.track,inferred,requires_approval,True,True,finseo:prompts:write|finseo:*,True,high,True,True,True,none,implemented_unverified
finseo,finseo.competitors.compare,inferred,executable,True,True,finseo:competitors:read|finseo:*,True,low,False,True,True,none,implemented_unverified
finseo,finseo.exports.run,inferred,executable,True,True,finseo:exports:read|finseo:*,True,medium,False,True,True,none,implemented_unverified
ai_visibility_ui,ai_visibility_ui.surfaces.list,inferred,executable,True,True,ai_visibility_ui:surfaces:read|ai_visibility_ui:*,True,low,False,True,True,mock,verified_working
ai_visibility_ui,ai_visibility_ui.mentions.check,inferred,executable,True,True,ai_visibility_ui:mentions:read|ai_visibility_ui:*,True,low,False,True,True,mock,verified_working
ai_visibility_ui,ai_visibility_ui.prompts.batch,inferred,requires_approval,True,True,ai_visibility_ui:prompts:write|ai_visibility_ui:*,True,high,True,True,True,mock,verified_working
ai_visibility_ui,ai_visibility_ui.captures.export,inferred,executable,True,True,ai_visibility_ui:captures:read|ai_visibility_ui:*,True,medium,False,True,True,mock,verified_working
pdl,pdl.person.enrich,inferred,executable,True,True,pdl:person:read|pdl:*,True,low,False,True,True,live,verified_working
pdl,pdl.company.enrich,inferred,executable,True,True,pdl:company:read|pdl:*,True,low,False,True,True,live,verified_working
pdl,pdl.person.identify,inferred,executable,True,True,pdl:person:read|pdl:*,True,low,False,True,True,live,verified_working
pdl,pdl.person.prefetch,inferred,executable,True,True,pdl:person:read|pdl:*,True,low,False,True,True,live,verified_working
stackadapt,stackadapt.campaigns.list,inferred,executable,True,True,stackadapt:campaigns:read|stackadapt:*,True,low,False,True,True,none,implemented_unverified
stackadapt,stackadapt.campaigns.get,inferred,executable,True,True,stackadapt:campaigns:read|stackadapt:*,True,low,False,True,True,none,implemented_unverified
stackadapt,stackadapt.stats.summary,inferred,executable,True,True,stackadapt:stats:read|stackadapt:*,True,low,False,True,True,none,implemented_unverified
stackadapt,stackadapt.campaigns.create,inferred,requires_approval,True,True,stackadapt:campaigns:write|stackadapt:*,True,high,True,True,True,live,verified_working
stackadapt,stackadapt.campaigns.update,inferred,requires_approval,True,True,stackadapt:campaigns:write|stackadapt:*,True,high,True,True,True,none,implemented_unverified
stackadapt,stackadapt.audiences.sync,inferred,requires_approval,True,True,stackadapt:audiences:write|stackadapt:*,True,high,True,True,True,none,implemented_unverified
stackadapt,stackadapt.creatives.upload,inferred,requires_approval,True,True,stackadapt:creatives:write|stackadapt:*,True,high,True,True,True,none,implemented_unverified
stackadapt,stackadapt.reports.export,inferred,executable,True,True,stackadapt:reports:read|stackadapt:*,True,medium,False,True,True,none,implemented_unverified
linkedin,linkedin.prospect.enrich,inferred,executable,True,True,linkedin:prospects:read|linkedin:*,True,low,False,True,True,mock,verified_working
linkedin,linkedin.organizations.get,inferred,executable,True,True,linkedin:organizations:read|linkedin:*,True,low,False,True,True,mock,verified_working
linkedin,linkedin.ads.accounts.list,inferred,executable,True,True,linkedin:ads:read|linkedin:*,True,low,False,True,True,mock,verified_working
linkedin,linkedin.leads.submit,inferred,requires_approval,True,True,linkedin:leads:write|linkedin:*,True,high,True,True,True,mock,verified_working
linkedin,linkedin.audience.update,inferred,requires_approval,True,True,linkedin:audiences:write|linkedin:*,True,high,True,True,True,mock,verified_working
linkedin,linkedin.campaigns.optimize,inferred,requires_approval,True,True,linkedin:ads:write|linkedin:*,True,high,True,True,True,mock,verified_working
linkedin,linkedin.conversions.track,inferred,requires_approval,True,True,linkedin:conversions:write|linkedin:*,True,high,True,True,True,mock,verified_working
linkedin,linkedin.batch.enrich,inferred,executable,True,True,linkedin:prospects:read|linkedin:*,True,medium,False,True,True,mock,verified_working
apollo,apollo.people.search,override,executable,True,True,apollo:people:read|apollo:*,True,low,False,True,True,live,verified_working
apollo,apollo.organizations.search,inferred,executable,True,True,apollo:organizations:read|apollo:*,True,low,False,True,True,mock,verified_working
apollo,apollo.contacts.get,inferred,executable,True,True,apollo:contacts:read|apollo:*,True,low,False,True,True,live,verified_working
apollo,apollo.contacts.search,override,executable,True,True,apollo:contacts:read|apollo:*,True,low,False,True,True,live,verified_working
apollo,apollo.lists.list,override,executable,True,True,apollo:labels:read|apollo:*,True,low,False,True,True,live,verified_working
apollo,apollo.people.match,override,executable,True,True,apollo:enrichment:read|apollo:*,True,low,False,True,True,live,verified_working
apollo,apollo.organizations.enrich,override,executable,True,True,apollo:enrichment:read|apollo:*,True,low,False,True,True,live,verified_working
apollo,apollo.contacts.create,inferred,requires_approval,True,True,apollo:contacts:write|apollo:*,True,high,True,True,True,live,verified_working
apollo,apollo.lists.create,override,requires_approval,True,True,apollo:labels:write|apollo:*,True,high,True,True,True,live,verified_working
apollo,apollo.lists.add,override,requires_approval,True,True,apollo:labels:write|apollo:*,True,high,True,True,True,live,verified_working
apollo,apollo.sequences.add,inferred,requires_approval,True,True,apollo:sequences:write|apollo:*,True,high,True,True,True,live,verified_working
apollo,apollo.enrichment.bulk,inferred,requires_approval,True,True,apollo:enrichment:write|apollo:*,True,high,True,True,True,live,verified_working
apollo,apollo.tasks.create,inferred,requires_approval,True,True,apollo:tasks:write|apollo:*,True,high,True,True,True,live,verified_working
apollo,apollo.signals.subscribe,inferred,executable,True,True,apollo:signals:read|apollo:*,True,medium,False,True,True,live,verified_working
apollo,apollo.contacts.update,inferred,requires_approval,True,True,apollo:contacts:write|apollo:*,True,high,True,True,True,live,verified_working
apollo,apollo.contacts.delete,inferred,requires_approval,True,True,apollo:contacts:write|apollo:*,True,high,True,True,True,live,verified_working
apollo,apollo.sequences.remove,inferred,requires_approval,True,True,apollo:sequences:write|apollo:*,True,high,True,True,True,live,verified_working
clay,clay.tables.list,inferred,executable,True,True,clay:tables:read|clay:*,True,low,False,True,True,live,verified_working
clay,clay.people.enrich,inferred,executable,True,True,clay:people:read|clay:*,True,low,False,True,True,live,verified_working
clay,clay.companies.enrich,inferred,executable,True,True,clay:companies:read|clay:*,True,low,False,True,True,live,verified_working
clay,clay.workflows.output.get,inferred,executable,True,True,clay:workflows:read|clay:*,True,low,False,True,True,live,verified_working
clay,clay.leads.push,inferred,requires_approval,True,True,clay:leads:write|clay:*,True,high,True,True,True,live,verified_working
clay,clay.enrichments.request,inferred,requires_approval,True,True,clay:enrichments:write|clay:*,True,high,True,True,True,live,verified_working
clay,clay.crm.sync,inferred,requires_approval,True,True,clay:crm:write|clay:*,True,high,True,True,True,live,verified_working
engagebay,engagebay.contacts.search,override,executable,True,True,engagebay:contacts:read|engagebay:*,True,low,False,True,True,none,implemented_unverified
engagebay,engagebay.contacts.get,override,executable,True,True,engagebay:contacts:read|engagebay:*,True,low,False,True,True,none,implemented_unverified
engagebay,engagebay.deals.list,override,executable,True,True,engagebay:deals:read|engagebay:*,True,low,False,True,True,none,implemented_unverified
engagebay,engagebay.contacts.create,override,requires_approval,True,True,engagebay:contacts:write|engagebay:*,True,high,True,True,True,live,verified_working
engagebay,engagebay.contacts.update,override,requires_approval,True,True,engagebay:contacts:write|engagebay:*,True,high,True,True,True,live,verified_working
engagebay,engagebay.tasks.create,override,requires_approval,True,True,engagebay:tasks:write|engagebay:*,True,high,True,True,True,none,implemented_unverified
stripe,stripe.invoices.list,inferred,executable,True,True,stripe:invoices:read|stripe:*,True,low,False,True,True,live,verified_working
stripe,stripe.subscriptions.get,inferred,executable,True,True,stripe:subscriptions:read|stripe:*,True,low,False,True,True,live,verified_working
stripe,stripe.customers.get,inferred,executable,True,True,stripe:customers:read|stripe:*,True,low,False,True,True,live,verified_working
stripe,stripe.customers.create,inferred,requires_approval,True,True,stripe:customers:write|stripe:*,True,high,True,True,True,live,verified_working
stripe,stripe.invoices.create,inferred,requires_approval,True,True,stripe:invoices:write|stripe:*,True,high,True,True,True,live,verified_working
stripe,stripe.refunds.create,inferred,requires_approval,True,True,stripe:refunds:write|stripe:*,True,high,True,True,True,live,verified_working
stripe,stripe.subscriptions.update,inferred,requires_approval,True,True,stripe:subscriptions:write|stripe:*,True,high,True,True,True,live,verified_working
stripe,stripe.payment_intents.confirm,inferred,requires_approval,True,True,stripe:payments:write|stripe:*,True,high,True,True,True,live,verified_working
stripe,stripe.checkout.sessions.create,inferred,requires_approval,True,True,stripe:checkout:write|stripe:*,True,high,True,True,True,live,verified_working
